"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-02-01,2008,353,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-09-01,2009,576,0,10,1148
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-09-01,2010,751,0,13,1560
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-02-01,2010,304,0,6,761
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-09-01,2011,1372,3803,17,2116
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-03-01,2011,990,7787,13,1702
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-01-01,2009,420,0,8,770
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-03-01,2009,277,0,9,753
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-04-01,2009,512,0,8,730
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-08-01,2011,986,15298,17,1997
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-06-01,2011,1003,16515,15,2215
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-03-01,2011,954,8190,13,1702
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-02-01,2011,662,4251,9,1088
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-04-01,2009,522,0,8,730
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-01-01,2010,314,0,7,858
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2012-01-01,2012,1088,1781,11,1247
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-07-01,2011,1379,9600,17,2245
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2007-08-01,2007,83,0,8,100
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-05-01,2008,93,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-09-01,2008,418,0,8,770
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-05-01,2009,551,0,10,910
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-10-01,2010,1008,0,12,1498
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-08-01,2010,1371,0,12,1629
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Non Scheduled",2007-11-01,2007,0,0,1,0
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-10-01,2011,1180,15433,15,1943
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-07-01,2011,1859,15245,18,2378
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-08-01,2007,548,0,8,548
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-03-01,2008,545,0,10,953
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-05-01,2008,719,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-12-01,2007,559,0,9,559
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-08-01,2008,608,0,10,1000
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-12-01,2010,683,0,10,1209
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-07-01,2010,1468,0,14,1669
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-01-01,2011,654,2768,8,920
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2007-11-01,2007,0,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2007-09-01,2007,138,0,9,450
